Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°25;0.846; 1.164; 1.546; 0.58; 0.745;55; 1.779; 2.535; 0.855; 0.342; 0.736;114; 1.266; 1.598; 1.204; 0.361; 0.61;202; 1.549; 2.129; 1.293; 0.485; 0.716;330; 
Simulation n°26;1.427; 2.105; 0.477; 0.191; 0.69;59; 0.871; 1.067; 0.561; 0.175; 0.649;98; 1.816; 2.259; 2.939; 1.102; 0.759;199; 2.179; 3.033; 5.077; 2.115; 0.862;334; 
Simulation n°27;0.982; 1.252; 1.499; 0.562; 0.603;51; 2.034; 2.975; 0.857; 0.268; 0.674;117; 2.505; 3.225; 3.771; 1.508; 0.816;206; 1.352; 1.577; 1.481; 0.525; 0.752;280; 
Simulation n°28;1.886; 3.018; 2.605; 1.107; 0.806;64; 1.372; 1.75; 1.381; 0.518; 0.722;102; 1.942; 2.488; 2.895; 1.194; 0.844;205; 2.689; 3.608; 5.621; 2.272; 0.852;322; 
Simulation n°29;2.066; 2.634; 1.366; 0.546; 0.781;51; 1.763; 2.248; 4.64; 1.972; 0.748;102; 1.584; 2.06; 0.945; 0.349; 0.732;208; 3.276; 4.437; 1.271; 0.498; 0.77;325; 
Simulation n°30;1.434; 2.151; 1.797; 0.809; 0.888;60; 0.544; 0.557; 0.071; 0.017; 0.461;82; 2.153; 2.704; 1.505; 0.517; 0.706;201; 1.728; 2.231; 4.017; 1.691; 0.813;310; 
Simulation n°31;2.17; 3.038; 0.371; 0.148; 0.753;56; 2.379; 3.033; 0.402; 0.141; 0.707;102; 4.17; 5.917; 5.586; 2.2; 0.755;227; 1.85; 2.42; 2.572; 0.954; 0.739;314; 
Simulation n°32;6.082; 10.491; 0.917; 0.367; 0.789;69; 0.738; 0.932; 1.973; 0.814; 0.814;101; 0.696; 0.866; 1.781; 0.69; 0.786;199; 2.111; 2.885; 1.735; 0.658; 0.772;328; 
Simulation n°33;3.094; 5.106; 3.602; 1.981; 0.856;66; 1.546; 2.087; 5.433; 2.309; 0.841;108; 1.353; 1.776; 0.502; 0.141; 0.564;210; 1.615; 2.181; 1.524; 0.597; 0.789;324; 
Simulation n°34;0.326; 0.309; 0.047; 0.011; 0.376;38; 0.71; 0.87; 1.94; 0.752; 0.67;98; 1.689; 2.248; 1.247; 0.46; 0.747;213; 1.547; 2.139; 5.893; 2.676; 0.914;332; 
Simulation n°35;1.061; 1.247; 0.795; 0.298; 0.729;47; 1.72; 2.365; 1.434; 0.466; 0.685;110; 6.731; 9.971; 2.607; 1.043; 0.828;237; 1.888; 2.573; 2.057; 0.814; 0.78;327; 
Simulation n°36;0.509; 0.61; 0.0; 0.0; 0.271;48; 1.128; 1.424; 0.152; 0.04; 0.54;101; 1.367; 1.649; 1.473; 0.525; 0.726;193; 2.671; 3.517; 1.123; 0.379; 0.683;316; 
Simulation n°37;1.508; 2.262; 1.958; 0.734; 0.772;60; 1.842; 2.487; 1.222; 0.428; 0.637;108; 1.645; 1.84; 2.306; 0.778; 0.692;179; 4.611; 6.552; 1.156; 0.433; 0.73;341; 
Simulation n°38;2.407; 3.43; 3.102; 1.551; 0.774;57; 1.553; 2.039; 0.196; 0.049; 0.509;105; 1.422; 1.83; 3.554; 1.555; 0.837;206; 5.51; 7.438; 6.339; 2.588; 0.795;324; 
Simulation n°39;1.325; 1.855; 3.326; 1.496; 0.684;56; 2.249; 3.177; 0.801; 0.27; 0.622;113; 1.587; 1.984; 1.415; 0.557; 0.81;200; 1.541; 1.895; 4.305; 1.65; 0.781;295; 
Simulation n°40;2.64; 4.62; 3.607; 1.533; 0.897;70; 2.508; 3.605; 1.021; 0.37; 0.708;115; 1.838; 2.561; 2.314; 0.955; 0.806;223; 2.003; 2.712; 1.829; 0.709; 0.787;325; 
Simulation n°41;8.269; 15.504; 1.537; 0.499; 0.599;75; 0.698; 0.741; 0.805; 0.241; 0.614;85; 1.004; 1.318; 1.189; 0.431; 0.744;210; 2.808; 3.778; 10.211; 4.935; 0.96;323; 
Simulation n°42;1.778; 2.622; 0.311; 0.085; 0.54;59; 0.874; 0.972; 0.272; 0.081; 0.59;89; 1.87; 2.454; 2.618; 1.08; 0.786;210; 2.035; 2.79; 0.524; 0.181; 0.675;329; 
Simulation n°43;0.751; 0.902; 0.106; 0.034; 0.579;48; 3.121; 4.214; 1.593; 0.637; 0.742;108; 3.694; 5.148; 1.977; 0.828; 0.838;223; 1.948; 2.436; 2.62; 0.993; 0.739;300; 
Simulation n°44;0.898; 1.123; 0.676; 0.203; 0.525;50; 2.438; 3.748; 4.513; 2.426; 0.94;123; 4.101; 5.922; 1.675; 0.722; 0.852;231; 1.678; 2.251; 2.381; 1.002; 0.829;322; 
Simulation n°45;0.885; 1.217; 0.373; 0.112; 0.537;55; 3.39; 4.958; 0.787; 0.295; 0.681;117; 0.44; 0.456; 1.139; 0.342; 0.638;166; 6.626; 9.745; 4.148; 1.642; 0.769;353; 
Simulation n°46;1.976; 2.915; 1.589; 0.715; 0.86;59; 3.439; 4.986; 2.555; 1.15; 0.824;116; 1.252; 1.706; 2.473; 1.128; 0.917;218; 2.751; 3.657; 1.277; 0.442; 0.679;319; 
Simulation n°47;3.746; 5.713; 2.17; 0.977; 0.826;61; 1.313; 1.641; 1.746; 0.72; 0.805;100; 2.971; 4.178; 1.759; 0.704; 0.797;225; 3.45; 4.973; 2.158; 0.818; 0.787;346; 
Simulation n°48;1.067; 1.493; 0.649; 0.227; 0.653;56; 2.386; 3.311; 1.146; 0.43; 0.727;111; 2.977; 3.833; 2.274; 0.896; 0.801;206; 2.327; 2.996; 0.811; 0.27; 0.673;309; 
Simulation n°49;1.315; 1.874; 0.321; 0.096; 0.564;57; 1.477; 2.123; 2.476; 1.176; 0.884;115; 4.105; 5.926; 1.048; 0.347; 0.686;231; 1.458; 1.877; 4.589; 1.817; 0.806;309; 
Simulation n°50;1.518; 2.24; 0.548; 0.205; 0.722;59; 0.961; 1.189; 2.028; 0.735; 0.766;99; 0.842; 0.995; 0.863; 0.27; 0.638;189; 2.031; 2.834; 2.523; 1.009; 0.788;335; 
Simulation n°51;1.411; 2.081; 0.725; 0.38; 0.773;59; 0.796; 0.945; 0.933; 0.315; 0.65;95; 3.619; 5.361; 1.291; 0.476; 0.784;237; 2.312; 3.131; 7.661; 3.096; 0.855;325; 
Simulation n°52;3.314; 4.888; 0.929; 0.348; 0.652;59; 5.023; 6.906; 0.593; 0.245; 0.743;110; 1.153; 1.456; 3.537; 1.503; 0.865;202; 4.483; 6.257; 2.656; 0.996; 0.74;335; 
Simulation n°53;0.488; 0.61; 1.464; 0.622; 0.696;50; 1.227; 1.518; 1.436; 0.503; 0.712;99; 1.739; 2.358; 2.466; 1.094; 0.834;217; 2.663; 4.049; 6.438; 2.924; 0.901;365; 
Simulation n°54;1.876; 2.955; 0.925; 0.301; 0.644;63; 1.504; 2.068; 5.969; 3.134; 0.923;110; 9.156; 13.792; 4.49; 2.217; 0.939;241; 1.346; 1.822; 4.841; 2.138; 0.884;325; 
Simulation n°55;0.855; 1.176; 1.732; 0.779; 0.841;55; 0.897; 1.099; 1.09; 0.354; 0.655;98; 5.371; 7.217; 4.002; 1.451; 0.756;215; 1.675; 2.205; 3.062; 1.25; 0.809;316; 
Simulation n°56;0.795; 1.073; 0.484; 0.157; 0.528;54; 1.483; 1.668; 0.379; 0.085; 0.431;90; 1.729; 2.475; 7.244; 3.441; 0.95;229; 2.442; 3.307; 12.972; 5.783; 0.892;325; 
Simulation n°57;1.345; 1.648; 0.342; 0.103; 0.597;49; 1.113; 1.488; 2.521; 1.04; 0.793;107; 1.201; 1.652; 3.502; 1.445; 0.862;220; 2.749; 3.768; 4.222; 1.759; 0.821;329; 
Simulation n°58;1.25; 1.594; 1.244; 0.466; 0.747;51; 1.38; 1.794; 0.968; 0.303; 0.631;104; 6.416; 8.902; 6.205; 2.831; 0.907;222; 1.01; 1.237; 1.564; 0.541; 0.727;294; 
Simulation n°59;2.116; 2.592; 1.623; 0.609; 0.645;49; 1.34; 1.726; 8.119; 3.958; 0.952;103; 3.215; 4.723; 2.837; 1.33; 0.858;235; 2.557; 3.196; 4.24; 1.696; 0.826;300; 
Simulation n°60;1.226; 1.471; 0.491; 0.123; 0.529;48; 1.165; 1.529; 0.447; 0.14; 0.611;105; 1.915; 2.514; 2.218; 0.915; 0.835;210; 2.463; 3.428; 6.095; 2.514; 0.856;334; 
Simulation n°61;1.349; 1.686; 0.764; 0.248; 0.488;50; 5.204; 8.132; 1.192; 0.462; 0.782;125; 1.916; 2.635; 4.965; 2.39; 0.935;220; 1.149; 1.437; 1.54; 0.494; 0.665;300; 
Simulation n°62;3.084; 4.78; 0.786; 0.275; 0.688;62; 1.609; 2.092; 1.149; 0.474; 0.741;104; 1.507; 1.922; 0.901; 0.327; 0.704;204; 5.907; 8.614; 2.732; 1.15; 0.846;350; 
