Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°113;1.5; 2.25; 4.58; 2.748; 0.85;60; 1.016; 1.118; 0.517; 0.149; 0.6;88; 1.844; 2.559; 2.691; 0.992; 0.725;222; 2.877; 4.136; 4.075; 1.783; 0.885;345; 
Simulation n°114;0.797; 1.036; 0.267; 0.1; 0.668;52; 2.097; 3.093; 1.17; 0.468; 0.745;118; 2.898; 4.13; 1.48; 0.546; 0.755;228; 3.598; 4.918; 3.863; 1.577; 0.757;328; 
Simulation n°115;0.781; 0.938; 3.813; 1.811; 0.805;48; 2.413; 3.619; 1.662; 0.748; 0.842;120; 1.364; 1.757; 0.804; 0.277; 0.672;206; 1.942; 2.363; 2.897; 1.062; 0.755;292; 
Simulation n°116;1.072; 1.153; 0.288; 0.058; 0.425;43; 1.448; 2.081; 2.052; 0.898; 0.829;115; 2.258; 3.104; 2.395; 0.943; 0.774;220; 2.047; 2.721; 1.73; 0.591; 0.705;319; 
Simulation n°117;1.142; 1.428; 0.214; 0.064; 0.647;50; 0.923; 1.038; 0.551; 0.151; 0.507;90; 3.011; 3.877; 2.127; 0.851; 0.81;206; 7.332; 10.387; 3.106; 1.333; 0.885;340; 
Simulation n°118;0.399; 0.479; 2.918; 1.24; 0.645;48; 1.44; 1.71; 1.469; 0.588; 0.794;95; 0.952; 1.196; 2.479; 0.914; 0.731;201; 2.113; 2.88; 1.088; 0.367; 0.704;327; 
Simulation n°119;2.154; 3.231; 0.636; 0.27; 0.825;60; 1.425; 1.852; 1.515; 0.682; 0.855;104; 1.953; 2.527; 1.492; 0.597; 0.844;207; 1.929; 2.709; 2.898; 1.207; 0.83;337; 
Simulation n°120;1.571; 2.592; 2.57; 1.092; 0.93;66; 1.775; 2.44; 1.738; 0.652; 0.749;110; 3.269; 4.495; 1.162; 0.458; 0.8;220; 2.953; 3.814; 2.013; 0.789; 0.772;310; 
Simulation n°121;2.352; 3.586; 0.827; 0.351; 0.733;61; 0.836; 1.024; 0.494; 0.136; 0.587;98; 4.895; 7.067; 2.121; 0.808; 0.833;231; 3.363; 4.596; 4.287; 1.715; 0.812;328; 
Simulation n°122;1.455; 2.328; 3.94; 1.97; 0.867;64; 1.973; 2.985; 2.777; 1.25; 0.887;121; 2.043; 2.682; 0.801; 0.31; 0.771;210; 3.075; 4.368; 3.11; 1.283; 0.849;341; 
Simulation n°123;0.776; 0.95; 1.392; 0.592; 0.772;49; 1.573; 2.005; 2.453; 0.92; 0.812;102; 3.131; 4.423; 6.081; 2.774; 0.939;226; 1.748; 2.185; 2.162; 0.865; 0.798;300; 
Simulation n°124;4.276; 6.735; 0.54; 0.243; 0.849;63; 5.898; 8.921; 5.146; 2.187; 0.764;121; 1.387; 1.751; 1.231; 0.477; 0.748;202; 2.221; 3.156; 4.721; 2.302; 0.92;341; 
Simulation n°125;3.522; 6.252; 3.932; 1.966; 0.879;71; 1.215; 1.55; 1.964; 0.761; 0.766;102; 3.143; 4.322; 1.974; 0.802; 0.83;220; 1.068; 1.232; 1.264; 0.448; 0.716;277; 
Simulation n°126;2.941; 4.264; 2.695; 1.28; 0.955;58; 1.008; 1.122; 0.561; 0.189; 0.653;89; 3.881; 5.36; 9.547; 4.236; 0.909;221; 2.132; 2.834; 1.68; 0.651; 0.78;319; 
Simulation n°127;2.743; 4.32; 1.334; 0.567; 0.812;63; 5.444; 8.439; 0.927; 0.324; 0.692;124; 1.994; 2.53; 2.076; 0.805; 0.761;203; 2.107; 2.88; 0.889; 0.311; 0.718;328; 
Simulation n°128;1.929; 2.508; 1.794; 0.717; 0.812;52; 1.165; 1.53; 1.935; 0.822; 0.789;105; 1.575; 2.126; 1.055; 0.409; 0.743;216; 4.26; 6.177; 7.01; 3.154; 0.877;348; 
Simulation n°129;3.04; 4.864; 1.019; 0.306; 0.58;64; 4.649; 7.148; 3.535; 1.768; 0.935;123; 2.087; 2.935; 3.2; 1.42; 0.888;225; 2.586; 3.653; 3.746; 1.561; 0.866;339; 
Simulation n°130;0.699; 0.822; 0.95; 0.309; 0.639;47; 4.764; 6.968; 1.029; 0.322; 0.618;117; 0.868; 1.03; 0.966; 0.308; 0.666;190; 1.335; 1.691; 2.87; 1.244; 0.903;304; 
Simulation n°131;0.966; 1.207; 1.013; 0.329; 0.502;50; 1.154; 1.5; 8.041; 3.317; 0.826;104; 1.635; 2.023; 1.111; 0.354; 0.645;198; 3.317; 5.003; 1.596; 0.632; 0.823;362; 
Simulation n°132;2.305; 3.112; 0.747; 0.336; 0.725;54; 2.944; 4.343; 2.301; 1.007; 0.802;118; 5.987; 8.719; 3.421; 1.539; 0.876;233; 2.576; 3.606; 1.694; 0.671; 0.823;336; 
Simulation n°133;1.899; 3.085; 1.397; 0.699; 0.832;65; 0.887; 1.131; 0.0; 0.0; 0.605;102; 1.489; 2.103; 2.043; 0.843; 0.883;226; 2.183; 2.865; 1.781; 0.668; 0.752;315; 
Simulation n°134;2.761; 4.832; 0.552; 0.193; 0.668;70; 1.512; 2.136; 3.15; 1.26; 0.774;113; 1.194; 1.56; 1.557; 0.613; 0.77;209; 1.753; 2.213; 0.756; 0.258; 0.701;303; 
Simulation n°135;2.529; 3.54; 0.694; 0.173; 0.51;56; 4.073; 6.008; 2.211; 0.94; 0.824;118; 1.689; 2.143; 1.509; 0.547; 0.725;203; 3.019; 4.013; 3.84; 1.744; 0.949;319; 
Simulation n°136;2.487; 4.103; 4.263; 2.451; 0.924;66; 3.658; 5.487; 2.982; 1.416; 0.811;120; 1.787; 2.402; 2.993; 0.973; 0.65;215; 9.404; 13.519; 8.882; 4.515; 0.985;345; 
Simulation n°137;0.349; 0.314; 0.677; 0.22; 0.746;36; 1.019; 1.427; 3.704; 1.759; 0.872;112; 3.513; 5.226; 4.861; 2.218; 0.836;238; 6.031; 8.669; 1.446; 0.621; 0.834;345; 
Simulation n°138;3.019; 4.227; 0.086; 0.017; 0.347;56; 6.946; 10.592; 2.769; 1.28; 0.846;122; 5.217; 7.663; 4.727; 2.216; 0.871;235; 1.667; 2.209; 2.007; 0.769; 0.791;318; 
Simulation n°139;0.916; 1.26; 2.083; 0.937; 0.822;55; 0.748; 0.776; 0.332; 0.079; 0.539;83; 1.358; 1.808; 3.155; 1.4; 0.851;213; 1.394; 1.9; 3.859; 1.656; 0.885;327; 
Simulation n°140;1.341; 1.877; 7.017; 3.859; 0.875;56; 2.022; 2.882; 5.181; 2.785; 0.945;114; 2.02; 2.715; 1.651; 0.66; 0.754;215; 3.165; 4.299; 3.288; 1.439; 0.913;326; 
Simulation n°141;1.275; 1.69; 1.102; 0.358; 0.542;53; 2.962; 3.924; 1.249; 0.437; 0.73;106; 1.737; 2.096; 0.969; 0.291; 0.625;193; 3.294; 4.433; 2.64; 1.1; 0.84;323; 
Simulation n°142;0.889; 1.067; 3.719; 1.674; 0.895;48; 1.31; 1.686; 1.895; 0.782; 0.817;103; 2.26; 3.023; 0.698; 0.205; 0.616;214; 1.166; 1.437; 2.536; 1.025; 0.827;296; 
Simulation n°143;1.797; 2.336; 1.57; 0.706; 0.888;52; 0.781; 1.073; 3.27; 1.594; 0.869;110; 1.281; 1.705; 4.872; 2.04; 0.823;213; 2.713; 3.595; 1.608; 0.603; 0.754;318; 
Simulation n°144;0.706; 0.9; 0.333; 0.092; 0.56;51; 0.892; 1.049; 0.845; 0.243; 0.597;94; 1.657; 2.175; 1.009; 0.347; 0.711;210; 1.201; 1.491; 1.203; 0.436; 0.735;298; 
Simulation n°145;0.484; 0.521; 0.649; 0.227; 0.644;43; 2.68; 3.785; 0.967; 0.326; 0.696;113; 1.503; 1.991; 1.438; 0.539; 0.782;212; 2.047; 2.465; 4.603; 1.745; 0.764;289; 
Simulation n°146;0.578; 0.578; 0.3; 0.09; 0.591;40; 2.503; 3.317; 2.854; 1.213; 0.787;106; 4.485; 5.298; 0.611; 0.214; 0.68;189; 2.392; 3.24; 2.929; 1.208; 0.832;325; 
Simulation n°147;2.823; 3.74; 0.793; 0.297; 0.677;53; 1.353; 1.877; 1.107; 0.512; 0.85;111; 9.173; 13.874; 4.245; 1.778; 0.835;242; 1.601; 2.161; 1.015; 0.393; 0.819;324; 
Simulation n°148;0.923; 1.339; 0.287; 0.079; 0.604;58; 4.869; 7.425; 0.689; 0.198; 0.581;122; 1.526; 1.927; 1.068; 0.354; 0.705;202; 2.164; 3.047; 7.287; 3.279; 0.94;338; 
Simulation n°149;1.557; 2.101; 0.86; 0.258; 0.631;54; 0.589; 0.67; 1.178; 0.412; 0.677;91; 3.558; 5.247; 2.821; 1.269; 0.864;236; 2.162; 2.702; 4.123; 1.598; 0.795;300; 
Simulation n°150;1.595; 2.512; 0.522; 0.17; 0.605;63; 4.585; 7.221; 3.317; 1.7; 0.924;126; 1.273; 1.647; 3.632; 1.385; 0.767;207; 1.683; 2.195; 2.387; 1.035; 0.83;313; 
Simulation n°151;0.327; 0.343; 2.745; 1.235; 0.77;42; 1.236; 1.606; 1.979; 0.668; 0.63;104; 3.239; 4.576; 0.64; 0.212; 0.64;226; 1.221; 1.592; 6.837; 3.077; 0.929;313; 
Simulation n°152;1.214; 1.487; 0.002; 0.001; 0.638;49; 1.015; 1.193; 1.344; 0.454; 0.687;94; 2.716; 3.633; 2.221; 0.888; 0.803;214; 2.062; 2.818; 1.749; 0.67; 0.759;328; 
Simulation n°153;0.772; 0.984; 0.454; 0.079; 0.355;51; 2.68; 3.685; 0.596; 0.209; 0.666;110; 1.617; 2.072; 2.784; 1.27; 0.89;205; 6.156; 9.105; 4.855; 2.144; 0.919;355; 
Simulation n°154;1.07; 1.498; 1.06; 0.398; 0.671;56; 5.531; 8.849; 0.55; 0.234; 0.806;128; 11.06; 16.452; 1.493; 0.634; 0.819;238; 1.094; 1.345; 1.822; 0.713; 0.796;295; 
Simulation n°155;0.418; 0.449; 0.072; 0.022; 0.609;43; 1.742; 2.135; 2.36; 0.974; 0.789;98; 1.938; 2.52; 1.491; 0.643; 0.882;208; 1.69; 2.162; 2.019; 0.807; 0.824;307; 
Simulation n°156;1.434; 2.044; 1.416; 0.46; 0.712;57; 5.236; 8.247; 1.763; 0.705; 0.81;126; 2.903; 4.01; 1.509; 0.622; 0.848;221; 1.847; 2.347; 5.504; 2.133; 0.744;305; 
Simulation n°157;0.673; 0.74; 0.424; 0.127; 0.542;44; 2.008; 2.735; 2.965; 1.297; 0.83;109; 1.433; 1.774; 0.711; 0.236; 0.678;198; 6.041; 8.784; 17.17; 8.513; 0.93;349; 
Simulation n°158;2.852; 4.207; 2.261; 1.017; 0.764;59; 0.908; 1.089; 1.364; 0.529; 0.771;96; 5.299; 7.849; 4.782; 2.242; 0.888;237; 4.546; 6.687; 8.254; 3.817; 0.916;353; 
Simulation n°159;0.606; 0.803; 1.217; 0.456; 0.673;53; 2.972; 4.532; 0.709; 0.275; 0.782;122; 1.901; 2.566; 3.682; 1.634; 0.838;216; 3.09; 4.145; 4.022; 1.777; 0.898;322; 
Simulation n°160;1.38; 2.174; 2.16; 0.864; 0.863;63; 0.793; 0.912; 2.124; 0.717; 0.675;92; 1.836; 2.559; 2.441; 0.992; 0.823;223; 1.878; 2.403; 1.988; 0.754; 0.768;307; 
Simulation n°161;3.224; 5.078; 3.025; 1.21; 0.67;63; 0.473; 0.514; 0.595; 0.231; 0.824;87; 9.506; 14.556; 1.577; 0.601; 0.747;245; 2.522; 3.362; 3.166; 1.253; 0.816;320; 
Simulation n°162;1.473; 1.952; 0.489; 0.11; 0.471;53; 3.307; 4.754; 0.705; 0.255; 0.741;115; 2.622; 3.704; 3.582; 1.59; 0.879;226; 1.539; 1.859; 4.515; 1.844; 0.855;290; 
Simulation n°163;0.882; 1.213; 0.878; 0.395; 0.816;55; 1.403; 1.788; 2.854; 1.284; 0.823;102; 1.968; 2.719; 1.536; 0.586; 0.754;221; 1.187; 1.529; 1.494; 0.585; 0.847;309; 
Simulation n°164;2.136; 2.937; 2.959; 1.257; 0.818;55; 1.296; 1.733; 0.636; 0.151; 0.459;107; 1.328; 1.726; 9.144; 4.4; 0.964;208; 3.863; 5.408; 2.045; 0.792; 0.798;336; 
Simulation n°165;2.417; 4.049; 1.283; 0.642; 0.749;67; 1.348; 1.786; 3.641; 1.593; 0.813;106; 1.24; 1.519; 1.837; 0.62; 0.688;196; 3.271; 4.334; 2.539; 1.026; 0.84;318; 
Simulation n°166;1.042; 1.068; 0.0; 0.0; 0.359;41; 2.253; 3.182; 4.009; 1.704; 0.868;113; 3.368; 4.947; 10.432; 5.151; 0.954;235; 1.475; 1.881; 1.537; 0.589; 0.782;306; 
Simulation n°167;1.249; 1.717; 1.19; 0.476; 0.733;55; 1.503; 1.766; 0.826; 0.32; 0.718;94; 4.579; 6.526; 1.007; 0.359; 0.722;228; 2.337; 3.174; 1.53; 0.587; 0.769;326; 
Simulation n°168;0.745; 0.894; 0.336; 0.109; 0.595;48; 0.612; 0.597; 0.241; 0.063; 0.558;78; 2.319; 3.188; 7.873; 3.592; 0.895;220; 2.531; 3.501; 2.276; 0.92; 0.776;332; 
Simulation n°169;4.095; 5.938; 2.302; 0.863; 0.736;58; 3.631; 5.129; 1.535; 0.499; 0.612;113; 1.447; 1.773; 1.957; 0.648; 0.709;196; 1.289; 1.654; 1.243; 0.44; 0.713;308; 
Simulation n°170;1.962; 2.747; 3.346; 1.589; 0.931;56; 0.892; 1.059; 1.922; 0.577; 0.603;95; 1.113; 1.217; 1.624; 0.609; 0.764;175; 1.912; 2.565; 2.217; 0.822; 0.794;322; 
Simulation n°171;1.693; 2.328; 0.376; 0.104; 0.576;55; 1.245; 1.727; 4.907; 2.147; 0.797;111; 2.032; 2.781; 1.394; 0.523; 0.737;219; 2.997; 3.984; 1.453; 0.46; 0.638;319; 
Simulation n°172;0.511; 0.626; 0.907; 0.227; 0.401;49; 5.087; 7.822; 4.351; 2.067; 0.882;123; 2.458; 3.334; 4.829; 2.022; 0.818;217; 1.905; 2.579; 0.924; 0.346; 0.735;325; 
Simulation n°173;0.677; 0.711; 0.378; 0.132; 0.661;42; 1.98; 2.55; 1.458; 0.583; 0.678;103; 1.089; 1.341; 5.631; 2.076; 0.737;197; 4.883; 6.734; 5.481; 2.192; 0.826;331; 
Simulation n°174;1.184; 1.451; 6.187; 2.939; 0.816;49; 2.471; 3.645; 9.647; 4.944; 0.796;118; 5.808; 8.385; 1.642; 0.626; 0.79;231; 2.401; 3.262; 2.866; 1.099; 0.79;326; 
Simulation n°175;1.027; 1.335; 1.33; 0.532; 0.68;52; 0.779; 1.012; 4.662; 2.04; 0.819;104; 3.415; 4.824; 4.715; 2.21; 0.918;226; 2.079; 2.685; 1.655; 0.641; 0.791;310; 
Simulation n°176;1.32; 1.98; 1.189; 0.476; 0.739;60; 2.818; 3.698; 2.659; 0.997; 0.808;105; 1.069; 1.417; 0.781; 0.21; 0.533;212; 3.057; 4.177; 3.775; 1.542; 0.813;328; 
Simulation n°177;0.342; 0.419; 2.809; 1.405; 0.674;49; 1.04; 1.261; 0.681; 0.23; 0.659;97; 1.307; 1.511; 0.888; 0.317; 0.734;185; 1.816; 2.452; 3.977; 1.756; 0.9;324; 
Simulation n°178;2.184; 3.33; 5.578; 2.928; 0.764;61; 0.966; 1.147; 1.667; 0.583; 0.657;95; 2.71; 3.574; 1.39; 0.452; 0.685;211; 2.734; 3.793; 1.611; 0.604; 0.763;333; 
Simulation n°179;0.537; 0.497; 0.436; 0.109; 0.473;37; 0.97; 1.091; 2.722; 1.225; 0.866;90; 1.856; 2.494; 1.543; 0.588; 0.727;215; 1.001; 1.264; 0.681; 0.221; 0.651;303; 
Simulation n°180;1.177; 1.677; 0.517; 0.194; 0.726;57; 0.541; 0.629; 0.529; 0.126; 0.544;93; 4.043; 5.508; 2.96; 1.184; 0.838;218; 3.125; 4.231; 11.679; 5.304; 0.938;325; 
Simulation n°181;2.491; 3.425; 0.254; 0.07; 0.545;55; 2.319; 3.014; 1.812; 0.68; 0.754;104; 5.725; 7.907; 3.036; 1.234; 0.802;221; 1.385; 1.685; 0.865; 0.256; 0.588;292; 
Simulation n°182;3.121; 4.292; 0.972; 0.316; 0.463;55; 2.012; 2.665; 2.649; 1.06; 0.801;106; 2.002; 2.691; 1.227; 0.445; 0.735;215; 5.866; 8.456; 10.372; 5.359; 0.926;346; 
Simulation n°183;0.537; 0.605; 1.125; 0.478; 0.679;45; 1.01; 1.174; 0.765; 0.268; 0.625;93; 3.808; 4.903; 3.217; 1.106; 0.699;206; 1.799; 2.503; 3.808; 1.587; 0.806;334; 
Simulation n°184;2.089; 3.289; 0.401; 0.13; 0.686;63; 1.992; 2.64; 0.581; 0.196; 0.703;106; 2.033; 2.631; 3.266; 1.163; 0.712;207; 3.287; 4.807; 3.286; 1.314; 0.829;351; 
Simulation n°185;1.375; 1.822; 1.43; 0.608; 0.819;53; 2.898; 4.239; 1.91; 0.74; 0.764;117; 2.224; 2.821; 4.785; 2.153; 0.844;203; 1.345; 1.71; 5.972; 2.513; 0.852;305; 
Simulation n°186;1.702; 2.298; 1.425; 0.57; 0.741;54; 0.613; 0.675; 2.341; 0.878; 0.717;88; 1.3; 1.666; 2.061; 0.876; 0.855;205; 1.252; 1.592; 5.462; 2.094; 0.788;305; 
Simulation n°187;1.711; 2.524; 0.717; 0.233; 0.657;59; 4.137; 6.413; 8.17; 4.902; 0.941;124; 1.98; 2.549; 2.976; 1.228; 0.801;206; 3.591; 5.193; 2.172; 0.923; 0.844;347; 
Simulation n°188;0.934; 1.027; 0.084; 0.025; 0.573;44; 2.611; 3.623; 1.265; 0.49; 0.764;111; 2.958; 4.271; 2.385; 0.954; 0.807;231; 5.365; 7.288; 3.411; 1.293; 0.821;326; 
Simulation n°189;4.363; 7.636; 0.302; 0.09; 0.477;70; 0.516; 0.62; 1.386; 0.503; 0.739;96; 2.167; 3.02; 2.154; 0.929; 0.862;223; 2.304; 3.119; 1.572; 0.596; 0.766;325; 
Simulation n°190;0.385; 0.395; 0.145; 0.029; 0.431;41; 1.581; 2.016; 1.871; 0.608; 0.605;102; 1.892; 2.518; 1.798; 0.719; 0.807;213; 1.93; 2.533; 1.462; 0.5; 0.701;315; 
Simulation n°191;3.54; 6.195; 0.74; 0.24; 0.617;70; 2.213; 3.485; 3.089; 1.236; 0.805;126; 4.264; 5.996; 0.903; 0.311; 0.728;225; 1.756; 2.379; 1.844; 0.738; 0.786;325; 
Simulation n°192;2.306; 3.746; 4.121; 2.06; 0.944;65; 1.37; 1.798; 2.415; 0.906; 0.723;105; 2.101; 2.561; 0.894; 0.302; 0.645;195; 1.241; 1.614; 1.776; 0.651; 0.749;312; 
Simulation n°193;2.149; 3.17; 4.964; 2.606; 0.804;59; 1.319; 1.666; 7.632; 3.816; 0.852;101; 1.279; 1.47; 1.336; 0.434; 0.632;184; 4.956; 7.558; 2.898; 1.304; 0.902;366; 
Simulation n°194;1.986; 3.327; 2.777; 1.388; 0.887;67; 1.153; 1.514; 5.828; 2.914; 0.949;105; 1.863; 2.212; 2.262; 0.905; 0.82;190; 1.333; 1.694; 2.512; 0.921; 0.774;305; 
Simulation n°195;0.832; 1.019; 0.531; 0.119; 0.479;49; 1.122; 1.305; 0.324; 0.109; 0.66;93; 1.265; 1.455; 0.598; 0.179; 0.646;184; 2.413; 3.178; 1.828; 0.594; 0.688;316; 
Simulation n°196;0.761; 0.933; 0.378; 0.123; 0.681;49; 3.877; 5.38; 2.217; 0.804; 0.697;111; 1.409; 1.902; 4.564; 1.997; 0.892;216; 1.369; 1.665; 2.866; 1.122; 0.779;292; 
Simulation n°197;1.074; 1.396; 0.972; 0.413; 0.824;52; 1.511; 2.021; 0.415; 0.119; 0.539;107; 1.68; 2.237; 3.962; 1.486; 0.75;213; 2.373; 3.204; 1.886; 0.778; 0.816;324; 
Simulation n°198;1.524; 1.981; 1.397; 0.629; 0.648;52; 2.031; 2.665; 4.849; 1.94; 0.751;105; 4.172; 5.607; 2.56; 1.04; 0.838;215; 2.436; 3.208; 2.132; 0.799; 0.783;316; 
Simulation n°199;3.576; 5.9; 3.43; 1.629; 0.793;66; 1.622; 2.129; 1.615; 0.626; 0.74;105; 1.373; 1.793; 1.616; 0.586; 0.715;209; 1.866; 2.519; 2.79; 1.116; 0.846;324; 
Simulation n°200;0.947; 1.373; 0.261; 0.078; 0.588;58; 0.786; 0.963; 1.782; 0.69; 0.755;98; 1.658; 2.135; 1.416; 0.496; 0.725;206; 7.005; 10.304; 5.28; 2.222; 0.862;353; 
Simulation n°201;1.321; 1.816; 0.762; 0.267; 0.626;55; 0.98; 1.249; 0.232; 0.064; 0.531;102; 1.361; 1.676; 4.722; 2.066; 0.875;197; 1.152; 1.445; 1.864; 0.582; 0.645;301; 
Simulation n°202;0.498; 0.498; 1.156; 0.462; 0.673;40; 1.99; 2.339; 2.043; 0.664; 0.632;94; 1.9; 2.601; 2.506; 1.05; 0.821;219; 1.318; 1.687; 2.161; 0.828; 0.789;307; 
Simulation n°203;1.718; 2.449; 3.104; 1.474; 0.869;57; 1.596; 1.935; 0.761; 0.238; 0.691;97; 5.199; 7.604; 0.678; 0.246; 0.729;234; 4.103; 5.899; 3.483; 1.437; 0.836;345; 
Simulation n°204;1.044; 1.357; 1.225; 0.368; 0.618;52; 1.663; 2.245; 6.918; 3.373; 0.893;108; 1.516; 2.047; 1.247; 0.437; 0.696;216; 2.261; 3.089; 2.218; 0.979; 0.91;328; 
Simulation n°205;0.896; 1.03; 0.412; 0.124; 0.592;46; 0.839; 1.143; 0.626; 0.25; 0.68;109; 4.515; 6.406; 1.196; 0.337; 0.583;227; 2.709; 3.837; 1.163; 0.46; 0.809;340; 
Simulation n°206;2.708; 3.723; 3.511; 1.58; 0.799;55; 2.937; 4.956; 2.514; 1.163; 0.88;135; 1.245; 1.541; 0.836; 0.272; 0.604;198; 4.764; 6.67; 3.672; 1.499; 0.828;336; 
Simulation n°207;1.015; 1.193; 0.228; 0.063; 0.43;47; 3.071; 4.452; 3.826; 1.674; 0.818;116; 4.057; 5.908; 5.665; 2.549; 0.869;233; 1.494; 1.911; 0.9; 0.322; 0.723;307; 
Simulation n°208;1.361; 1.77; 1.091; 0.436; 0.801;52; 1.342; 1.644; 1.588; 0.675; 0.837;98; 1.855; 2.365; 0.974; 0.377; 0.773;204; 2.349; 3.269; 4.487; 2.0; 0.914;334; 
Simulation n°209;0.581; 0.654; 0.31; 0.093; 0.538;45; 1.912; 2.271; 1.425; 0.499; 0.716;95; 2.908; 3.872; 0.864; 0.324; 0.754;213; 3.819; 5.251; 4.161; 1.89; 0.878;330; 
Simulation n°210;0.708; 0.69; 0.317; 0.087; 0.483;39; 3.994; 6.09; 0.454; 0.165; 0.708;122; 2.535; 3.422; 2.025; 0.709; 0.713;216; 1.98; 2.583; 1.16; 0.377; 0.668;313; 
Simulation n°211;0.93; 1.046; 0.461; 0.15; 0.663;45; 2.75; 3.781; 2.075; 0.934; 0.873;110; 2.034; 2.771; 3.372; 1.243; 0.746;218; 2.518; 3.273; 2.37; 0.938; 0.798;312; 
Simulation n°212;0.898; 1.302; 1.665; 0.791; 0.842;58; 1.685; 2.232; 1.058; 0.37; 0.679;106; 1.652; 2.251; 1.241; 0.45; 0.735;218; 3.876; 5.314; 8.364; 4.112; 0.918;329; 
Simulation n°213;1.177; 1.795; 5.156; 2.965; 0.92;61; 7.41; 12.411; 1.581; 0.652; 0.772;134; 4.664; 6.647; 2.859; 1.286; 0.895;228; 1.541; 2.042; 1.542; 0.578; 0.738;318; 
Simulation n°214;1.726; 2.503; 1.363; 0.613; 0.724;58; 1.596; 2.155; 1.723; 0.668; 0.788;108; 3.932; 5.848; 7.26; 3.539; 0.91;238; 2.159; 2.941; 1.945; 0.738; 0.75;327; 
Simulation n°215;0.974; 1.29; 0.75; 0.263; 0.709;53; 1.599; 2.238; 1.24; 0.527; 0.855;112; 3.777; 5.477; 5.675; 2.731; 0.921;232; 2.347; 3.139; 5.304; 2.365; 0.91;321; 
Simulation n°216;1.13; 1.582; 1.211; 0.605; 0.866;56; 3.021; 4.532; 4.319; 2.537; 0.908;120; 2.558; 3.421; 3.471; 1.323; 0.801;214; 2.952; 4.009; 4.871; 2.009; 0.854;326; 
Simulation n°217;3.559; 5.872; 1.842; 0.875; 0.73;66; 4.41; 6.836; 6.127; 3.063; 0.919;124; 3.31; 4.509; 13.984; 7.342; 0.896;218; 2.158; 2.779; 0.974; 0.345; 0.709;309; 
Simulation n°218;1.507; 1.997; 0.499; 0.15; 0.421;53; 1.085; 1.451; 0.571; 0.228; 0.753;107; 1.273; 1.599; 0.625; 0.211; 0.702;201; 2.095; 3.002; 2.814; 1.173; 0.849;344; 
Simulation n°219;1.027; 1.438; 1.175; 0.47; 0.7;56; 0.866; 1.007; 0.775; 0.252; 0.609;93; 1.622; 1.997; 1.627; 0.58; 0.707;197; 1.573; 2.065; 3.339; 1.308; 0.831;315; 
Simulation n°220;0.878; 1.164; 0.394; 0.089; 0.462;53; 0.729; 0.939; 0.946; 0.331; 0.725;103; 1.248; 1.63; 1.037; 0.363; 0.74;209; 1.0; 1.287; 4.108; 1.746; 0.814;309; 
Simulation n°221;1.239; 1.642; 2.834; 1.275; 0.861;53; 3.501; 4.945; 3.228; 1.251; 0.744;113; 3.094; 4.003; 1.111; 0.347; 0.658;207; 3.325; 4.364; 3.409; 1.42; 0.815;315; 
Simulation n°222;4.116; 6.483; 1.508; 0.716; 0.739;63; 1.765; 2.538; 1.33; 0.549; 0.735;115; 1.419; 1.765; 1.754; 0.734; 0.807;199; 1.94; 2.61; 1.367; 0.49; 0.726;323; 
Simulation n°223;0.743; 0.966; 0.519; 0.195; 0.643;52; 1.164; 1.426; 1.316; 0.494; 0.68;98; 5.589; 7.93; 2.2; 1.004; 0.912;227; 1.296; 1.61; 4.572; 1.81; 0.81;298; 
Simulation n°224;0.405; 0.425; 1.718; 0.687; 0.728;42; 7.574; 12.876; 8.624; 4.851; 0.963;136; 1.225; 1.601; 4.574; 1.83; 0.823;209; 1.202; 1.448; 2.445; 0.856; 0.752;289; 
Simulation n°225;3.757; 5.072; 1.143; 0.486; 0.814;54; 1.943; 2.696; 1.054; 0.382; 0.773;111; 1.563; 2.178; 1.708; 0.555; 0.676;223; 1.827; 2.382; 2.358; 0.874; 0.747;313; 
Simulation n°226;0.983; 1.204; 0.126; 0.044; 0.647;49; 2.075; 2.698; 4.575; 2.173; 0.885;104; 1.237; 1.639; 1.992; 0.71; 0.722;212; 1.175; 1.587; 4.059; 1.877; 0.87;324; 
Simulation n°227;0.874; 1.049; 2.695; 1.078; 0.804;48; 0.816; 0.908; 1.06; 0.358; 0.649;89; 1.836; 2.261; 3.751; 1.477; 0.826;197; 1.222; 1.456; 2.178; 0.817; 0.787;286; 
Simulation n°228;3.396; 5.603; 0.519; 0.234; 0.809;66; 4.152; 5.917; 3.071; 1.267; 0.755;114; 1.358; 1.663; 1.941; 0.655; 0.665;196; 1.908; 2.56; 1.391; 0.522; 0.751;322; 
Simulation n°229;2.307; 4.038; 1.593; 0.717; 0.733;70; 1.628; 2.279; 6.638; 2.987; 0.897;112; 2.309; 2.93; 1.391; 0.565; 0.743;203; 2.393; 3.33; 2.589; 1.068; 0.778;334; 
